ID,director_facebook_likes,cast_total_facebook_likes,num_voted_users,num_user_for_reviews,imdb_score,movie_facebook_likes,Revenue,Budget,profit,response
374,107,568,114925,234,7.1,13000,101229792,39000000,62229792,Profit
375,140,11951,188116,415,7.3,0,250649836,90000000,160649836,Profit
376,125,16138,350698,816,8,26000,122919055,70000000,52919055,Profit
377,95,23018,272789,285,6.6,25000,211780824,65000000,146780824,Profit
378,123,1326,76477,275,7.1,0,185438673,14000000,171438673,Profit
379,101,3858,782437,1420,8.6,35000,23875127,20000000,3875127,Profit
380,154,4228,488537,1076,8.4,18000,131060248,18500000,112560248,Profit
381,110,25763,299852,713,6.7,0,258270008,75000000,183270008,Profit
382,146,2560,610333,1320,8.4,37000,44017374,19000000,25017374,Profit
383,289,25313,450676,983,8.5,19000,83471511,31500000,51971511,Profit
384,100,39989,82804,154,6.5,15000,43058898,22000000,21058898,Profit
385,216,47657,314033,1166,7.5,0,193772504,100000000,93772504,Profit
