Title,Studio,Total Gross,Total Theaters,Opening,Opening Theaters,open
Aaja Nachle,Yash,"$484,108",66,"$257,500",66,11/30/2007
Aarakshan (Reservation),Relbig.,"$651,096",91,"$344,661",91,8/12/2011
Aashayein (Wishes),Relbig.,n/a,14,n/a,14,8/27/2010
Aatsinki: The Story of Arctic Cowboys,Argo.,"$6,601",2,"$2,842",1,1/24/2014
Abandon,Par.,"$10,727,683","2,347","$5,064,077","2,341",10/18/2002
The Abandoned,ADF,"$1,331,137","1,000","$782,000","1,000",2/23/2007
ABC Africa,NYer,"$9,075",1,$559,1,5/3/2002
The ABC's of Death,Magn.,"$21,832",19,"$10,110",19,3/8/2013
ABCD,Eros,"$83,372",38,"$83,372",38,11/30/2001
ABCD (Any Body Can Dance),UTV,"$222,098",25,"$95,236",25,2/8/2013
ABCD (Any Body Can Dance) 2,UTV,"$892,133",146,"$444,195",146,6/19/2015
ABCs of Death 2,Magn.,"$7,171",17,"$4,022",17,10/31/2014
Abduction,LGF,"$28,087,155","3,118","$10,925,253","3,118",9/23/2011
Abduction: The Megumi Yokota Story,Sage.,"$26,859",1,"$5,034",1,11/24/2006
Abel,LGF,n/a,n/a,n/a,n/a,TBD
Aberdeen,FRun,"$65,090",2,"$5,065",1,8/17/2001
Abominable,Free,"$1,810",1,"$1,810",1,4/14/2006
Abouna,Leis.,"$3,290",1,"$2,350",1,2/20/2004
About a Boy,Uni.,"$41,385,278","1,756","$8,557,630","1,207",5/17/2002
About Adam,Mira.,"$159,668",11,"$33,300",5,5/11/2001
About Alex,Scre.,n/a,n/a,n/a,n/a,8/8/2014
About Cherry,IFC,"$3,003",3,"$2,760",3,9/21/2012
About Elly,CGld,"$470,760",16,"$13,180",1,4/8/2015
About Fifty,Scre.,n/a,n/a,n/a,n/a,11/11/2011
About Last Night (2014),SGem,"$48,637,684","2,253","$25,649,011","2,253",2/14/2014
About Last Night...,TriS,"$38,702,310",887,"$3,152,469",642,7/4/1986
About Ray,Wein.,n/a,n/a,n/a,n/a,TBD
About Schmidt,NL,"$65,016,287","1,240","$282,367",6,12/13/2002
About Time,Uni.,"$15,322,921","1,280","$1,076,250",175,11/1/2013
Above and Below,Osci.,n/a,n/a,n/a,n/a,4/15/2016
Above and Beyond,ICir,"$288,751",13,"$6,448",1,1/30/2015
Above the Law,WB,"$18,869,631",868,"$2,037,938",350,4/8/1988
Above the Rim,NL,"$16,192,320",891,"$3,738,800",836,3/25/1994
Abraham Lincoln: Vampire Hunter,Fox,"$37,519,139","3,109","$16,306,974","3,108",6/22/2012
Absence,Cdgm.,"$1,031",n/a,n/a,n/a,7/5/2013
Absence of Malice,Col.,"$40,716,963",994,"$97,667",2,11/20/1981
Absolute Beginners,Orion,"$930,211",4,"$83,743",4,4/18/1986
Absolute Power,Sony,"$50,068,310","2,568","$14,678,016","2,568",2/14/1997
Absolute Wilson,NYer,"$66,217",3,"$6,879",2,10/27/2006
Absolutely Anything,N/A,n/a,n/a,n/a,n/a,TBD
Absolutely Fabulous: The Movie,FoxS,"$4,739,029",355,"$1,861,118",313,7/22/2016
Absurdistan,FRun,"$39,683",3,"$1,441",1,2/6/2009
Abuse of Weakness,Strand,"$31,611",5,"$9,140",1,8/15/2014
The Abyss,Fox,"$54,222,310*","1,538","$9,319,797","1,533",8/11/1989
The Abyss Special Edition,Fox,"$238,737*",2,"$20,962",2,2/26/1993
Accepted,Uni.,"$36,323,505","2,917","$10,023,835","2,914",8/18/2006
Accident,Rialto,"$17,161",1,"$5,798",1,5/23/2014
The Accidental Husband,YFG,n/a,n/a,n/a,n/a,N/A
The Accidental Tourist,WB,"$32,632,093",954,"$97,578",3,12/23/1988
The Accompanist,SPC,"$769,983",n/a,n/a,n/a,12/23/1993
The Accountant,WB,n/a,n/a,n/a,n/a,10/14/2016
The Accused,Par.,"$32,078,318",930,"$4,316,369",796,10/14/1988
Ace in the Hole,Par.,n/a,n/a,n/a,n/a,6/29/1951
Ace Ventura: Pet Detective,WB,"$72,217,396","1,963","$12,115,105","1,750",2/4/1994
Ace Ventura: When Nature Calls,WB,"$108,385,533","2,705","$37,804,076","2,652",11/10/1995
Aces: Iron Eagle III,NL,"$2,517,600","1,051","$942,814","1,051",6/12/1992
Across the Sea of Time (IMAX),SPC,"$16,015,639",2,"$11,761",2,10/20/1995
Across the Universe,SonR,"$24,343,673",964,"$667,784",23,9/14/2007
Act of God,Zeit.,"$9,955",1,$522,1,7/31/2009
Act of Killing,Drft.,"$486,919",29,"$27,450",1,7/19/2013
Act of Valor,Rela.,"$70,012,847","3,053","$24,476,632","3,039",2/24/2012
Action Jackson,Lori,"$20,256,975","1,249","$5,424,783","1,249",2/12/1988
Action Jackson (2014),Eros,"$256,872",125,"$171,795",125,12/5/2014
Actress (2014),CGld,"$19,365",4,"$4,880",1,11/7/2014
Acts of Worship,Mnf.,"$9,377",1,"$6,626",1,11/21/2003
Adam,FoxS,"$2,277,396",177,"$68,377",4,7/29/2009
Adam & Steve,TLA,"$309,404",17,"$66,429",17,3/31/2006
Adam's Apples,Outs,"$1,305",1,"$1,305",1,3/16/2007
Adam's Rib,MGM,n/a,n/a,n/a,n/a,11/18/1949
Adaptation.,Sony,"$22,498,520",672,"$384,478",7,12/6/2002
The Addams Family,Par.,"$113,502,426","2,411","$24,203,754","2,411",11/22/1991
Addams Family Values,Par.,"$48,919,043","2,577","$14,117,545","2,577",11/19/1993
Adderall Diaries,A24,"$13,191",31,"$5,517",30,4/15/2016
Addicted,LGF,"$17,390,770","1,037","$7,485,346",846,10/10/2014
Addicted to Fame,Abr.,n/a,n/a,n/a,n/a,11/30/2012
