Title,Studio,Total Gross,Total Theaters,Opening,Opening Theaters,open
Funny About Love,Par.,"$8,141,292","1,213","$3,036,352","1,213",9/21/1990
Funny Bones,BV,"$532,268",49,"$26,946",14,3/24/1995
Funny Farm,WB,"$25,537,221","1,557","$5,655,439","1,557",6/3/1988
Funny Games,WIP,"$1,294,919",288,"$544,833",286,3/14/2008
Funny Girl,Col.,"$52,000,000*",n/a,n/a,n/a,9/18/1968
Funny Girl (re-issue),SRep,"$223,306*",3,"$65,560",3,8/31/2001
Funny Ha Ha,GCR,"$77,070",3,"$10,555",2,4/29/2005
Funny Lady,Col.,"$39,000,000",n/a,n/a,n/a,3/9/1975
Funny Money,Think,"$2,844",4,"$1,839",4,1/26/2007
Funny People,Uni.,"$51,855,045","3,008","$22,657,780","3,007",7/31/2009
Fur: An Imaginary Portrait of Diane Arbus,PicH,"$223,202",39,"$28,815",4,11/10/2006
The Furies,Par.,n/a,n/a,n/a,n/a,8/16/1950
Furious 7,Uni.,"$353,007,020","4,022","$147,187,040","4,004",4/3/2015
Furry Vengeance,Sum.,"$17,630,465","3,002","$6,627,564","2,997",4/30/2010
The Further Adventures of Tennessee Buck,TWE,n/a,n/a,n/a,n/a,4/8/1988
Fury,MGM,n/a,n/a,n/a,n/a,5/29/1936
Fury (2014),Sony,"$85,817,906","3,313","$23,702,421","3,173",10/17/2014
Fury at Furnace Creek,Fox,n/a,n/a,n/a,n/a,4/30/1948
The Future,RAtt.,"$568,662",31,"$27,137",1,7/29/2011
Future of Food,Libre,"$81,280",5,"$8,721",2,9/14/2005
Futuro Beach,Strand,"$20,262",4,"$3,324",1,2/27/2015
G,Aloha,"$3,020,784",495,"$248,337",42,9/16/2005
G-Force,BV,"$119,436,770","3,697","$31,706,934","3,697",7/24/2009
G.B.F.,VE,n/a,n/a,n/a,n/a,1/17/2014
G.I. Jane,BV,"$48,169,156","2,043","$11,094,241","1,945",8/22/1997
G.I. Jesus,Cnv.,"$8,593",12,"$6,014",12,1/26/2007
G.I. Joe: Retaliation,Par.,"$122,523,060","3,734","$40,501,814","3,719",3/28/2013
G.I. Joe: The Rise of Cobra,Par.,"$150,201,498","4,007","$54,713,046","4,007",8/7/2009
Gabbar is Back,Eros,"$534,601",107,"$279,429",107,5/1/2015
Gabbeh,NYer,"$532,629",n/a,n/a,n/a,6/25/1997
Gabo: The Creation of Gabriel Garcia Marquez,Icar.,"$18,467",4,"$1,432",1,10/1/2015
Gabriel,Osci.,"$5,917",3,"$2,124",1,6/19/2015
Gabriela,Pow.,"$2,335,352",30,"$63,706",11,3/16/2001
Gabriela (1984),MGM,"$1,318,839",n/a,n/a,n/a,1/1/1984
Gabrielle,IFC,"$332,829",12,"$30,676",2,7/14/2006
Gabrielle (2014),EOne,"$5,534",1,"$3,024",1,4/18/2014
Gaby: A True Story,TriS,"$125,400",n/a,n/a,n/a,10/30/1987
Gainsbourg: A Heroic Life,MBox,"$233,007",19,"$25,189",3,8/31/2011
Galapagos (IMAX),Imax,"$18,563,468",14,"$36,316",2,10/29/1999
The Galapagos Affair: Satan Came to Eden,Zeit.,"$247,159",15,"$5,185",1,4/4/2014
Galaxy Quest,DW,"$71,583,916","2,450","$7,012,630","2,412",12/25/1999
Gallipoli,Par.,"$5,732,587",n/a,n/a,n/a,8/28/1981
The Gallows,WB (NL),"$22,764,410","2,720","$9,808,463","2,720",7/10/2015
Gambit,Fox,n/a,n/a,n/a,n/a,TBD
Gambit (2014),CBS,n/a,n/a,n/a,n/a,TBD
The Gambler,Par.,"$33,680,992","2,494","$9,129,999","2,478",12/25/2014
The Game,Poly,"$48,323,648","2,521","$14,337,029","2,403",9/12/1997
Game (2011),Eros,"$139,528",63,"$83,783",63,4/1/2011
Game 6,KMG,"$129,664",13,"$9,610",4,3/10/2006
The Game of Their Lives,IFC,"$375,750",64,"$175,336",64,4/22/2005
Game of Thrones (IMAX),WB,"$1,896,092",205,"$1,464,932",205,1/30/2015
Game Over: Kasparov and the Machine,Think,n/a,n/a,n/a,n/a,12/3/2004
The Game Plan,BV,"$90,648,202","3,342","$22,950,971","3,103",9/28/2007
Gamer,LGF,"$20,534,907","2,502","$9,156,057","2,502",9/4/2009
Games of Love and Chance (L'Esquive),NYer,"$8,085",1,"$2,529",1,8/31/2005
Games People Play: New York,AL,"$113,622",4,"$12,346",1,3/12/2004
Gandhi,Col.,"$52,767,889",825,"$131,153",4,12/10/1982
Gandhi My Father,Eros,"$242,967",38,"$174,425",38,8/3/2007
Gang of Ghosts,Eros,"$5,906",20,"$4,520",20,3/21/2014
Gang of Roses,DEJ,"$30,497",4,"$26,282",4,10/10/2003
Gang Related,MGM,"$5,906,773","1,260","$2,443,237","1,260",10/10/1997
The Gang's All Here,Fox,n/a,n/a,n/a,n/a,12/24/1943
Gangnam 1970,CJ,"$18,022",1,"$18,022",1,2/6/2015
Gangs of New York,Mira.,"$77,812,000","2,340","$9,496,870","1,504",12/20/2002
Gangster No. 1,IFC,"$30,915",1,"$5,514",1,6/14/2002
Gangster Squad,WB,"$46,000,903","3,103","$17,070,347","3,103",1/11/2013
Gangster's Paradise: Jerusalema,Anch.,"$7,294",4,"$4,958",4,6/11/2010
Garage Days,FoxS,"$32,500",23,"$20,600",23,7/18/2003
Garam Masala,RBF,"$1,007,943",42,"$395,708",42,11/3/2006
The Garbage Pail Kids Movie,Atl,"$1,576,615",374,"$661,512",374,8/21/1987
Garbo Talks,MGM,"$1,493,782",16,"$127,192",16,10/12/1984
Garbo: The Spy,FRun,"$28,563",2,"$5,593",1,11/18/2011
Garcon Stupide,Pict.,"$151,702",4,"$17,195",3,9/16/2005
The Garden,Osci.,"$26,931",4,"$4,114",1,4/24/2009
Garden Party,RAtt.,"$21,886",7,"$10,876",7,7/11/2008
Garden State,FoxS,"$26,782,316",813,"$201,115",9,7/28/2004
The Gardener,KDK,n/a,n/a,n/a,n/a,8/2/2013
Gardens of Stone,TriS,"$5,262,047",612,"$1,645,588",612,5/8/1987
Gardens of the Night,CityL,"$11,436",1,"$3,072",1,11/7/2008
Garfield: A Tail of Two Kitties,Fox,"$28,426,747","2,981","$7,288,977","2,946",6/16/2006
Garfield: The Movie,Fox,"$75,369,589","3,150","$21,727,611","3,094",6/11/2004
Garmento,Spn,"$19,402",1,"$3,611",1,6/6/2003
Garnet's Gold,Argo.,n/a,n/a,n/a,n/a,7/15/2016
Gas,Par.,"$2,869,425",n/a,n/a,n/a,7/23/1981
Gas Food Lodging,IRS,"$1,342,613",n/a,n/a,n/a,7/10/1992
GasLand,WOW,"$30,846",2,"$2,641",1,9/15/2010
Gasoline,Strand,"$11,023",2,"$2,885",1,7/2/2003
The Gate,NCeV,"$13,539,458","1,148","$4,258,063","1,139",5/15/1987
Gate II,Triu,"$2,032,973",350,"$1,053,175",350,2/28/1992
The Gatekeeper,Gat.,"$312,434",3,"$4,027",1,4/25/2003
The Gatekeepers,SPC,"$2,415,727",131,"$61,552",3,2/1/2013
The Gathering,Wein.,n/a,n/a,n/a,n/a,N/A
Gator,UA,n/a,n/a,n/a,n/a,8/25/1976
Gattaca,Sony,"$12,532,777","1,279","$4,320,202","1,279",10/24/1997
Gaudi Afternoon,Cn4,"$5,858",1,"$3,838",1,3/21/2003
The Gauntlet,WB,"$26,414,658",n/a,n/a,n/a,12/21/1977
The Gay Divorcee,RKO,n/a,n/a,n/a,n/a,10/12/1934
Gay Sex in the 70s,Lvtt.,"$249,565",5,"$17,357",1,11/4/2005
Gayby,TFC,"$14,062",1,"$4,792",1,10/12/2012
Gaz Bar Blues,Ode.,"$884,664",23,"$90,610",15,9/5/2003
Gemma Bovery,MBox,"$191,533",29,"$19,095",5,5/29/2015
Gendernauts,FRun,"$7,358",n/a,n/a,n/a,2/4/2000
Genealogies of a Crime,Strand,"$77,998",n/a,n/a,n/a,3/27/1998
The General,UA,n/a,n/a,n/a,n/a,2/5/1927
The General (1998),SPC,"$1,214,198",41,"$26,771",2,12/18/1998
General Education,PHP,"$8,601",4,$282,1,8/24/2012
General Orders No. 9,Vari.,n/a,1,n/a,1,6/24/2011
The General's Daughter,Par.,"$102,705,852","2,858","$22,332,053","2,856",6/18/1999
Generation Found,Gathr,"$51,294",22,n/a,n/a,8/29/2016
Generation Found,Gathr,"$10,137,502","2,509",n/a,n/a,8/29/2016
Generation Iron,TVC,"$849,521",84,"$245,000",53,9/20/2013
Generation War,MBox,"$91,595",7,"$7,386",1,1/15/2014
Genesis,Think,"$16,413",1,"$4,891",1,5/27/2005
Genghis Blues,Roxie,"$374,550",6,"$6,524",1,7/1/1999
Genghis Kahn: To the Ends of the Earth and Sea,BPic,"$3,892",40,"$3,332",40,2/21/2008
Genius,RAtt.,"$1,361,045",152,"$98,274",16,6/10/2016
The Genius Club,RivR,n/a,14,n/a,14,10/27/2006
Genius Within: The Inner Life of Glenn Gould,Lorb.,"$167,508",9,"$17,034",3,9/10/2010
Gentleman,Gaatri,"$897,876",126,"$537,490",126,6/17/2016
Gentleman Jim,WB,n/a,n/a,n/a,n/a,11/25/1942
Gentlemen Broncos,FoxS,"$113,682",18,"$11,502",2,10/30/2009
Gentlemen Don't Eat Poets,Art.,"$35,855",n/a,n/a,n/a,3/7/1997
George A. Romero's Diary of the Dead,TRR,"$958,961",48,"$232,576",42,2/15/2008
George A. Romero's Land of the Dead,Uni.,"$20,700,082","2,253","$10,221,705","2,249",6/24/2005
George A. Romero's Survival of the Dead,Magn.,"$101,740",20,"$43,757",20,5/28/2010
George Bush Goes to Heaven,HB,"$2,976",1,"$2,112",1,8/15/2006
George of the Jungle,BV,"$105,263,257","2,616","$16,540,791","2,506",7/18/1997
George Washington,Cow.,"$247,406",6,"$20,833",6,10/27/2000
Georgia,Mira.,"$1,110,104",3,"$55,461",3,12/8/1995
Georgia Rule,Uni.,"$19,103,072","2,531","$6,773,870","2,523",5/11/2007
Geostorm,WB,n/a,n/a,n/a,n/a,10/20/2017
Gerhard Richter Painting,KL,"$242,646",9,"$13,537",1,3/14/2012
The German Doctor,Gold.,"$418,392",39,"$34,259",5,4/25/2014
Germans & Jews,FRun,"$37,976",2,"$5,024",1,6/10/2016
Geronimo: An American Legend,Col.,"$18,635,620","1,636","$4,018,452","1,605",12/10/1993
Gerontophilia,Strand,"$4,916",1,"$1,927",1,5/1/2015
Gerry,Think,"$254,683",15,"$26,285",2,2/14/2003
Get Bruce!,Mira.,"$44,337",4,"$19,736",4,9/17/1999
Get Carter,WB,"$14,967,182","2,315","$6,637,830","2,315",10/6/2000
Get Crazy,Emb,"$1,645,711",n/a,n/a,n/a,8/5/1983
Get Hard,WB,"$90,411,453","3,212","$33,803,253","3,175",3/27/2015
Get Him to the Greek,Uni.,"$60,974,475","2,702","$17,570,955","2,697",6/4/2010
Get Low,SPC,"$9,176,933",570,"$88,182",4,7/30/2010
Get on the Bus,Sony,"$5,754,249","1,207","$2,156,409","1,207",10/18/1996
Get On Up,Uni.,"$30,703,100","2,469","$13,585,915","2,468",8/1/2014
Get Over It,Mira.,"$11,576,464","1,742","$4,134,977","1,742",3/9/2001
Get Real,ParC,"$1,152,979",40,"$54,254",6,4/30/1999
Get Rich or Die Tryin',Par.,"$30,985,352","1,666","$12,020,807","1,652",11/9/2005
Get Santa,N/A,n/a,n/a,n/a,n/a,TBD
Get Shorty,MGM,"$72,101,622","2,103","$12,700,007","1,612",10/20/1995
Get Smart,WB,"$130,319,208","3,915","$38,683,480","3,911",6/20/2008
The Getaway,NGP,n/a,n/a,n/a,n/a,12/13/1972
The Getaway (1994),Uni.,"$16,094,974","1,659","$5,806,515","1,659",2/11/1994
Getaway (2013),WB,"$10,501,938","2,135","$4,503,892","2,130",8/30/2013
Gett: The Trial of Viviane Amsalem,MBox,"$988,150",74,"$24,210",2,2/13/2015
Getting Away with Murder,Sav.,"$197,322",155,"$127,691",155,4/12/1996
Getting Even With Dad,MGM,"$18,869,594","1,955","$5,579,480","1,955",6/17/1994
Getting It On,Comw,"$975,414",350,"$975,414",350,8/19/1983
Getting It Right,MCE,"$960,385",44,"$73,159",44,5/5/1989
Getting Straight,Col.,"$13,300,000",n/a,n/a,n/a,5/13/1970
Gettysburg,NL,"$10,769,960",248,"$913,617",124,10/8/1993
Ghajini,AdL.,"$2,430,627",83,"$766,859",83,12/24/2008
Ghanchakkar,UTV,"$203,044",89,"$143,616",89,6/28/2013
The Ghastly Love of Johnny X,Strand,"$2,436",2,$86,1,10/26/2012
GhettoPhysics: Will the Real Pimps and Hos Please Stand Up?,Gold.,"$14,034",9,"$10,087",9,10/8/2010
Ghost,Par.,"$217,631,306","1,766","$12,191,540","1,101",7/13/1990
The Ghost and the Darkness,Par.,"$38,619,405","2,202","$9,215,063","2,142",10/11/1996
Ghost Dad,Uni.,"$24,707,633","1,221","$4,803,480","1,213",6/29/1990
Ghost Dog: Way of the Samurai,Art.,"$3,308,029",109,"$166,344",14,3/3/2000
Ghost in the Machine,Fox,"$5,086,909","1,031","$1,854,431","1,031",12/31/1993
Ghost in the Shell,Palm,"$515,905",1,"$2,736",1,2/2/1996
Ghost in the Shell (2017),Par.,n/a,n/a,n/a,n/a,3/31/2017
Ghost in the Shell 2: Innocence,GF,"$1,043,896",55,"$317,722",47,9/17/2004
Ghost in the Shell: The New Movie,FUN,"$101,203",267,n/a,n/a,11/10/2015
The Ghost of Frankenstein,Uni.,n/a,n/a,n/a,n/a,3/13/1942
Ghost Rider,Sony,"$115,802,596","3,620","$45,388,836","3,619",2/16/2007
Ghost Rider: Spirit of Vengeance,Sony,"$51,774,002","3,174","$22,115,334","3,174",2/17/2012
Ghost Ship,WB,"$30,113,491","2,787","$11,503,423","2,787",10/25/2002
Ghost Story,Uni.,"$23,371,905",600,"$2,105,729",548,12/16/1981
Ghost Team,Orch.,"$6,245",10,"$4,499",10,8/12/2016
Ghost Team One,TFA,"$9,195",15,"$7,345",15,10/11/2013
Ghost Town,P/DW,"$13,367,624","1,512","$5,012,315","1,505",9/19/2008
Ghost Town (1988),TWE,"$75,000",8,"$10,478",8,11/11/1988
Ghost World,MGM,"$6,217,849",128,"$98,791",5,7/20/2001
The Ghost Writer,Sum.,"$15,541,549",819,"$183,009",4,2/19/2010
Ghostbusters,Col.,"$229,242,989*","1,506","$13,578,151","1,339",6/8/1984
Ghostbusters (2016),Sony,"$127,059,587","3,963","$46,018,755","3,963",7/15/2016
Ghostbusters (30th Anniversary re-release),Sony,"$3,580,343*",784,"$1,756,513",784,8/29/2014
Ghostbusters (Re-issue),Col.,"$9,389,135*",990,"$2,085,116",990,8/23/1985
Ghostbusters II,Col.,"$112,494,738","2,410","$29,472,894","2,410",6/16/1989
Ghosted,FRun,"$1,780",1,$980,1,7/31/2009
Ghosthunters,,n/a,n/a,n/a,n/a,TBD
Ghosthunters,,n/a,n/a,n/a,n/a,TBD
Ghosthunters,,n/a,n/a,n/a,n/a,TBD
The Ghosts In Our Machine,GMI,"$20,709",2,"$8,756",1,11/8/2013
Ghosts of Cite Soleil,Think,"$48,752",3,"$7,100",1,6/27/2007
Ghosts of Girlfriends Past,WB (NL),"$55,250,026","3,175","$15,411,434","3,175",5/1/2009
Ghosts of Mississippi,Sony,"$13,323,144","1,268","$168,012",21,12/20/1996
Ghosts of the Abyss (IMAX & 35mm),BV,"$17,040,871",97,"$1,408,474",97,4/11/2003
Giant,WB,n/a*,n/a,n/a,n/a,10/10/1956
Giant (Re-issue),WB,"$177,909*",n/a,n/a,n/a,9/20/1996
The Giant Behemoth,AAP,n/a,n/a,n/a,n/a,3/3/1959
The Giant Mechanical Man,Trib.,"$7,396",1,"$1,789",1,4/27/2012
The Gift,ParC,"$12,008,642",807,"$11,827",3,12/22/2000
The Gift (2015),STX,"$43,787,265","2,503","$11,854,273","2,503",8/7/2015
Gifted,FoxS,n/a,n/a,n/a,n/a,4/12/2017
Gigantic,FInd.,"$102,704",11,"$10,294",1,4/3/2009
Gigantic,BV,n/a,n/a,n/a,n/a,11/21/2018
Gigantic: A Tale of Two Johns,Cow.,"$160,621",5,"$6,411",1,5/23/2003
Gigi,MGM,n/a,n/a,n/a,n/a,5/15/1958
Gigli,SonR,"$6,087,542","2,215","$3,753,518","2,215",8/1/2003
Gilda Live,WB,"$2,261,507",n/a,"$344,234",59,3/28/1980
Gille's Wife,CGld,"$32,799",2,"$2,568",1,11/18/2005
Gimme Shelter,RAtt.,"$1,359,910",385,"$689,070",385,1/24/2014
Gimme the Loot,IFC,"$104,442",10,"$21,065",1,3/22/2013
Ginger & Fred,MGM,"$837,623",1,"$22,725",1,3/28/1986
Ginger & Rosa,A24,"$1,012,973",99,"$42,838",3,3/15/2013
Ginger Snaps,CinV,"$2,554",1,"$1,430",1,10/26/2001
Ginger Snaps II: Unleashed,Sev.,"$80,372",53,"$80,372",53,1/30/2004
The Gingerbread Man,Poly,"$1,677,131",30,"$118,278",8,1/23/1998
Giorgio Moroder Presents Metropolis,KC,"$27,362*",16,n/a,3,10/7/2011
The Girl,AL,"$104,883",n/a,n/a,n/a,4/20/2001
The Girl (2013),BSM,"$35,048",7,"$11,164",2,3/8/2013
The Girl (Flickan),Olive,"$2,201",1,$712,1,9/17/2010
Girl 6,FoxS,"$4,939,939","1,077","$2,485,764","1,077",3/22/1996
A Girl and a Gun,FRun,"$3,018",10,"$1,731",9,7/3/2013
A Girl Called Rosemarie,Castle,"$3,744",n/a,n/a,n/a,10/15/1999
A Girl Cut in Two,IFC,"$409,658",21,"$18,658",2,8/15/2008
Girl from Monaco,Magn.,"$602,992",31,"$83,755",21,7/3/2009
The Girl from Paris,FPh,"$183,266",5,"$8,280",1,3/21/2003
The Girl in a Swing,Mira.,"$747,013",n/a,n/a,n/a,9/29/1989
Girl in Progress,LGF,"$2,609,412",322,"$1,384,078",322,5/11/2012
The Girl in the Book,Free,"$8,245",10,"$5,249",10,12/11/2015
The Girl In The Photographs,INDEP,n/a,n/a,n/a,n/a,4/1/2016
The Girl in the Picture,Gold.,"$202,428",n/a,n/a,n/a,7/9/1986
The Girl in the Red Velvet Swing,Fox,n/a,n/a,n/a,n/a,10/1/1955
A Girl Like Grace,GVN,n/a,n/a,n/a,n/a,12/2/2016
A Girl Like Her,PSR,n/a,n/a,n/a,n/a,3/27/2015
Girl Model,FRun,"$21,154",5,"$4,898",1,9/5/2012
Girl Most Likely,RAtt.,"$1,378,591",351,"$694,447",351,7/19/2013
The Girl Next Door,Fox,"$14,589,444","2,148","$6,003,806","2,148",4/9/2004
The Girl Next Door (2000),Indic.,"$771,712",5,"$25,807",5,4/14/2000
Girl on a Bicycle,Mont.,"$91,401",52,"$37,610",52,2/14/2014
The Girl on the Bridge,ParC,"$1,708,839",48,"$66,567",6,7/28/2000
The Girl on the Train,Strand,"$208,023",10,"$19,154",2,1/22/2010
The Girl on the Train (2014),Mont.,"$3,124",2,$211,1,7/4/2014
The Girl on the Train (2016),Uni.,n/a,n/a,n/a,n/a,10/7/2016
Girl Play,Wlfe.,"$11,523",1,"$8,441",1,4/1/2005
Girl Rising,Gathr,"$1,727,259",170,"$81,640",34,3/7/2013
Girl Trip,Uni.,n/a,n/a,n/a,n/a,7/21/2017
A Girl Walks Home Alone at Night,KL,"$491,910",19,n/a,n/a,11/21/2014
The Girl Who Kicked the Hornet's Nest,MBox,"$5,190,196",208,"$881,737",154,10/29/2010
The Girl Who Played with Fire,MBox,"$7,638,241",185,"$904,998",108,7/9/2010
Girl with a Pearl Earring,Lions,"$11,670,971",402,"$89,472",7,12/12/2003
The Girl with Red Hair,UA,"$39,001",n/a,n/a,n/a,2/25/1983
The Girl with the Dragon Tattoo,MBox,"$10,095,170",202,"$335,502",34,3/19/2010
The Girl with the Dragon Tattoo (2011),Sony,"$102,515,793","2,950","$12,768,604","2,914",12/21/2011
"Girl, Interrupted",Sony,"$28,912,646","1,935","$95,399",9,12/21/1999
Girlfight,SGem,"$1,565,852",253,"$197,896",28,9/29/2000
Girlfriend Boyfriend - GF BF,CL,"$64,414",16,"$29,016",16,8/3/2012
The Girlfriend Experience,Magn.,"$695,840",48,"$162,965",30,5/22/2009
Girlfriends,FRun,"$18,000",1,"$5,656",1,7/19/1996
Girlhood,Wells,"$37,977",3,"$4,845",2,10/29/2003
Girlhood (2015),Strand,"$60,765",5,"$7,667",2,1/30/2015
Girls Against Boys,Anch.,"$7,529",2,"$6,111",2,2/1/2013
Girls Can't Swim,Wells,"$69,250",2,"$5,238",1,4/19/2002
The Girls in the Band,AT/OS,n/a,n/a,n/a,n/a,5/10/2013
Girls Just Want to Have Fun,NW,"$6,326,051",613,"$1,650,078",613,4/12/1985
Girls Rock!,Shad.,"$159,294",14,"$29,917",7,3/7/2008
Girls Will Be Girls,IFC,"$148,047",14,"$14,361",2,10/10/2003
Girlstown,Oct.,"$503,667",n/a,n/a,n/a,8/21/1996
Giuliani Time,Libre,"$21,967",2,"$8,661",1,5/12/2006
"Give 'Em Hell, Harry!",N/A,"$11,000,000",n/a,n/a,n/a,9/18/1975
Give Me Your Hand,Strand,"$3,601",1,"$2,434",1,9/11/2009
Give My Regards to Broad St.,Fox,"$1,393,501",n/a,n/a,n/a,Oct 1984
The Giver,Wein.,"$45,090,374","3,003","$12,305,016","3,003",8/15/2014
Gladiator,DW,"$187,705,427","3,188","$34,819,017","2,938",5/5/2000
Gladiator (1992),Col.,"$9,223,441","1,356","$3,305,189","1,295",3/6/1992
Gladiators of Rome,VPD,"$8,201",11,"$1,920",1,11/11/2014
The Glamorous Life of Sachiko Hanai,Palm,"$5,383",1,"$1,787",1,4/13/2007
The Glass House,Sony,"$18,150,259","1,601","$5,738,448","1,591",9/14/2001
The Glass Menagerie,Cinpx,"$895,904",n/a,n/a,n/a,10/23/1987
The Glass Shield,Mira.,"$3,291,163",294,"$1,146,748",283,6/2/1995
Glass: A Portrait of Philip in Twelve Parts,Koch,"$20,018",1,"$5,546",1,4/18/2008
Glastonbury,Think,"$8,419",3,"$1,179",1,2/23/2007
Gleaming the Cube,Fox,"$2,777,280",469,"$740,780",466,1/13/1989
The Gleaners and I,Zeit.,"$155,320",4,"$12,655",2,3/7/2001
Gleason,ORF,"$583,664",148,"$91,583",9,7/29/2016
Glee The 3D Concert Movie,Fox,"$11,862,398","2,040","$5,961,231","2,040",8/12/2011
Glen Campbell... I'll Be Me,A23,"$365,422",18,"$86,741",10,10/24/2014
Glen or Glenda,Par.,"$10,158",n/a,n/a,n/a,5/22/1981
Glen or Glenda?,N/A,n/a,n/a,n/a,n/a,1953
Glengarry Glen Ross,NL,"$10,725,228",417,"$2,104,402",416,10/2/1992
The Glenn Miller Story,Uni.,n/a,n/a,n/a,n/a,12/10/1953
The Glimmer Man,WB,"$20,351,264","2,236","$7,605,504","2,236",10/4/1996
A Glimpse Inside the Mind of Charles Swan III,A24,"$45,350",18,"$12,000",2,2/8/2013
Glitter,Fox,"$4,274,407","1,225","$2,414,596","1,202",9/21/2001
Gloomy Sunday,Men.,"$585,604",16,"$7,102",1,6/20/2003
Gloria,Col.,"$4,059,673",n/a,"$33,767",1,10/1/1980
Gloria,Sony,"$4,197,729","1,527","$2,143,089","1,527",1/22/1999
Gloria (2014),RAtt.,"$2,107,925",110,"$56,454",3,1/24/2014
Gloria (2015),PH,"$14,701",3,"$7,930",3,7/17/2015
Glory,TriS,"$26,828,365",811,"$63,661",3,12/14/1989
Glory Daze,7Art,"$15,134",n/a,n/a,n/a,9/27/1996
Glory Road,BV,"$42,647,449","2,397","$13,594,734","2,222",1/13/2006
GMO OMG,SD,"$47,558",9,"$15,100",1,9/13/2013
Gnomeo and Juliet,BV,"$99,967,670","3,037","$25,356,909","2,994",2/11/2011
Go,Sony,"$16,943,454","1,563","$4,706,795","1,563",4/9/1999
Go Away Mr. Tumor,CL,"$286,639",18,"$50,036",15,8/14/2015
Go Fish,Gold.,"$2,405,285",n/a,n/a,n/a,Jul 1994
Go For It,LGF,"$180,237",218,"$119,714",218,5/13/2011
Go For Sisters,Vari.,"$70,495",12,"$6,001",2,11/8/2013
Go for Zucker,FRun,"$87,490",7,"$2,130",2,12/9/2005
Go Go Tales,IFC,n/a,n/a,n/a,n/a,2008
Go Goa Gone,Eros,"$298,457",92,"$170,044",92,5/10/2013
Go Now!,Gram.,"$25,695",3,"$3,657",1,5/1/1998
Go Tigers!,IFC,"$151,779",61,"$64,479",61,9/21/2001
The Go-Getter,PArch,"$11,931",5,"$11,931",5,6/6/2008
Goal 2: Living the Dream,Aren,"$225,067",99,"$150,098",99,8/29/2008
Goal! The Dream Begins,BV,"$4,283,255","1,007","$1,921,838","1,007",5/12/2006
Goats,Imag.,n/a,n/a,n/a,n/a,8/10/2012
GoBots: Battle of the Rock Lords,Atl,"$1,338,264","1,045","$531,905","1,045",3/21/1986
God and Gays: Bridging the Gap,Indic.,"$5,095",2,"$1,460",2,10/24/2008
God Bless America,Magn.,"$122,550",15,"$27,308",14,5/11/2012
God Grew Tired of Us,NM,"$301,447",10,"$21,858",2,1/12/2007
God Help the Girl,Ampl.,"$102,757",59,"$11,330",2,9/5/2014
"God is Great, I'm Not",Emp.,"$73,181",1,"$13,850",1,11/6/2002
God Loves Uganda,Vari.,"$51,229",5,"$7,300",1,10/11/2013
God of Vampires,Noct.,"$53,345",10,"$10,395",10,7/2/2010
God Particle,Par.,n/a,n/a,n/a,n/a,2/24/2017
"God Said, 'Ha!'",Mira.,"$55,970",5,"$12,022",2,2/12/1999
God the Father,RM,"$113,276",15,"$15,037",1,10/17/2014
God Tussi Great Ho,Eros,"$163,756",69,"$121,432",69,8/15/2008
God's Army,Zion,"$2,637,726",50,"$115,642",18,3/10/2000
God's Army 2: States of Grace,MStr.,"$203,144",35,"$42,321",35,11/4/2005
God's Not Dead,Free,"$60,755,732","1,860","$9,217,013",780,3/21/2014
God's Not Dead 2,PFR,"$20,774,575","2,419","$7,623,662","2,419",4/1/2016
God's Pocket,IFC,"$169,976",80,"$21,482",3,5/9/2014
God's Sandbox,Indic.,"$51,246",3,"$4,816",3,7/29/2005
The Godfather,Par.,"$133,698,921*",n/a,"$302,393",6,3/15/1972
The Godfather (Re-issue),Par.,"$1,267,490*",40,"$229,932",40,3/21/1997
The Godfather of Green Bay,Garl.,n/a,n/a,n/a,n/a,3/24/2006
The Godfather Part II,Par.,"$47,542,841",n/a,n/a,n/a,12/12/1974
The Godfather Part III,Par.,"$66,666,062","1,922","$19,558,558","1,901",12/25/1990
Gods and Generals,WB,"$12,882,934","1,533","$4,675,246","1,533",2/21/2003
Gods and Monsters,Lions,"$6,451,628",149,"$75,508",6,11/6/1998
The Gods Must Be Crazy,Fox,"$30,031,783",147,"$231,693",39,4/6/1984
The Gods Must Be Crazy II,Col.,"$6,291,444",323,"$1,180,803",321,4/13/1990
Gods of Egypt,LG/S,"$31,153,464","3,117","$14,123,903","3,117",2/26/2016
Godsend,Lions,"$14,379,751","2,323","$6,800,617","2,323",4/30/2004
Godspeed,N/A,n/a,n/a,n/a,n/a,3/26/2010
Godzilla,Sony,"$136,314,294","3,310","$44,047,541","3,310",5/20/1998
Godzilla (2014),WB,"$200,676,069","3,952","$93,188,384","3,952",5/16/2014
Godzilla (Original Japanese Version),Rialto,"$412,520",6,"$38,030",2,5/7/2004
Godzilla 1985,NW,"$4,116,395",235,"$509,502",235,8/23/1985
Godzilla 2,WB,n/a,n/a,n/a,n/a,3/22/2019
Godzilla 2000,Sony,"$10,037,390","2,111","$4,407,720","2,111",8/18/2000
Godzilla vs. Kong,WB,n/a,n/a,n/a,n/a,5/29/2020
Godzilla: The Japanese Original,Rialto,"$150,191",21,"$10,903",1,4/18/2014
The Goebbels Experiment,FRun,"$47,211",2,"$6,769",1,8/12/2005
Gogol Bordello Non-Stop,Lorb.,"$5,532",1,"$2,793",1,9/11/2009
