Movie Name,Status,Language,Runtime,Budget,Revenue,8,9,10,11,12,13,14
Wild Card (2015),Released,English,1h 32m,"$30,000,000.00",-,Jason Statham,Michael Angarano,Milo Ventimiglia,Dominik GarcÌ_a-Lorido,Anne Heche,SofÌ_a Vergara,Full Cast & Crew
The Lord of the Rings: The Two Towers (2002),Released,English,2h 59m,"$79,000,000.00","$926,287,400.00",Elijah Wood,Ian McKellen,Viggo Mortensen,Liv Tyler,Orlando Bloom,John Rhys-Davies,Full Cast & Crew
Child 44 (2015),Released,English,2h 17m,"$50,000,000.00","$3,324,330.00",Tom Hardy,Gary Oldman,Noomi Rapace,Joel Kinnaman,Paddy Considine,Jason Clarke,Full Cast & Crew
The Purge: Anarchy (2014),Released,English,1h 44m,"$9,000,000.00","$108,782,847.00",Frank Grillo,Carmen Ejogo,Zach Gilford,Kiele Sanchez,ZoÌÇ Borde,Justina Machado,Full Cast & Crew
Pitch Perfect 2 (2015),Released,English,1h 55m,"$29,000,000.00","$286,633,264.00",Anna Kendrick,Rebel Wilson,Hailee Steinfeld,Brittany Snow,Skylar Astin,Adam DeVine,Full Cast & Crew
Sicario (2015),Released,English,2h 1m,"$30,000,000.00","$84,025,816.00",Emily Blunt,Benicio del Toro,Josh Brolin,Victor Garber,Jon Bernthal,Daniel Kaluuya,Full Cast & Crew
Gods of Egypt (2016),Released,English,2h 7m,"$140,000,000.00","$143,055,748.00",Brenton Thwaites,Nikolaj Coster-Waldau,Gerard Butler,Courtney Eaton,Elodie Yung,Geoffrey Rush,Full Cast & Crew
How to Be Single (2016),Released,English,1h 50m,"$38,000,000.00","$112,000,000.00",Dakota Johnson,Rebel Wilson,Alison Brie,Nicholas Braun,Damon Wayans Jr.,Anders Holm,Full Cast & Crew
Nightcrawler (2014),Released,English,1h 57m,"$8,500,000.00","$38,697,217.00",Jake Gyllenhaal,Rene Russo,Riz Ahmed,Bill Paxton,Kevin Rahm,Michael Hyatt,Full Cast & Crew
American Sniper (2014),Released,English,2h 14m,"$58,800,000.00","$542,307,423.00",Bradley Cooper,Sienna Miller,Kyle Gallner,Cole Konis,Ben Reed,Elise Robertson,Full Cast & Crew
Forrest Gump (1994),Released,English,2h 22m,"$55,000,000.00","$677,945,399.00",Tom Hanks,Robin Wright,Gary Sinise,Mykelti Williamson,Sally Field,Michael Conner Humphreys,Full Cast & Crew
